source_type,source_name,url,author,date,topic,claim,evidence_type,confidence,notes
meta_report,TopDeck.gg Tournament Analytics,https://topdeck.gg,TopDeck Analysts,2026-03-01,Archetype performance,Prioriser les conclusions issues d'échantillons Top64 multi-tournois plutôt qu'un seul event.,data_backed,high,Source compétitive primaire; nécessite vérification manuelle des exports bruts.
meta_report,Piltover Archive Tournament Archive,https://piltoverarchive.com,Piltover Archive Contributors,2026-03-01,Lineup trends,Comparer conversion Top64->Top8 par archetype pour éviter les faux signaux de popularité.,data_backed,high,Fiable si bracket + decklist complets.
meta_report,Riftbound.gg Competitive Hub,https://riftbound.gg,Riftbound.gg Analysts,2026-03-01,Patch adaptation,Séparer les conclusions par patch (Spiritforged uniquement) avant d'ajuster les ratios d'une liste.,data_backed,high,Règle de base anti-biais inter-patch.
meta_report,Tournament Bracket + Decklist Cross-check,https://topdeck.gg,Independent Analysts,2026-03-01,Data hygiene,Ne retenir que les listes avec decklist + bracket vérifiables pour alimenter un moteur de recommandation.,methodological,high,Standard qualité indispensable pour l'automatisation.
longform_article,Frank Karsten - Hypergeometric Tools,https://strategy.channelfireball.com,Frank Karsten,2023-01-01,Probability planning,Utiliser les probabilités hypergéométriques pour fixer les counts minimaux des packages clés.,methodological,high,Méthode quantitative standard en deckbuilding compétitif.
longform_article,Reid Duke Deckbuilding Fundamentals,https://magic.wizards.com,Reid Duke,2022-01-01,Plan de jeu,Construire d'abord autour d'un plan A clair puis vérifier que chaque slot sert ce plan.,expert_review,high,Principe vétéran transférable CCG.
longform_article,PVDDR Competitive Deck Construction,https://articles.starcitygames.com,Paulo Vitor Damo da Rosa,2021-01-01,Core vs flex,Définir le noyau inamovible avant d'itérer les slots flex améliore la qualité de test.,expert_review,high,"Source pro reconnue, méthodologie robuste."
longform_article,MTG Theory - Mana Curve Discipline,https://www.channelfireball.com,CFB Strategy Team,2022-06-01,Curve management,Une courbe early insuffisante dégrade fortement la qualité des mains keepables.,methodological,high,Applicable à toute TCG orientée tempo.
meta_report,TopDeck.gg Spiritforged Dashboard,https://topdeck.gg,TopDeck Data Team,2026-03-02,Meta share,Mesurer à la fois popularité (meta share) et performance (winrate/conversion).,data_backed,high,Evite confusion volume vs qualité.
meta_report,Riftbound.gg Event Recap,https://riftbound.gg,Riftbound.gg Editorial,2026-03-03,Matchup focus,Prioriser les optimisations sur les matchups les plus fréquents du field ciblé.,data_backed,high,Approche ROI élevée en tournoi.
longform_article,Nassif Testing Process,https://articles.starcitygames.com,Gabriel Nassif,2020-01-01,Testing protocol,Tester en blocs de changements limités (1-3 slots) pour isoler les effets réels.,expert_review,high,Processus éprouvé en testing compétitif.
longform_article,Karsten on Mulligans,https://strategy.channelfireball.com,Frank Karsten,2022-05-01,Mulligan discipline,Formaliser des règles de mulligan par matchup apporte plus de gain que des micro-ajustements non testés.,methodological,high,Directement exploitable dans l'outil (simulateur/keep index).
video_or_podcast,Constructed Resources Podcast,https://lrcast.com,Luis Scott-Vargas & Marshall Sutcliffe,2023-09-01,Deck cohesion,Eviter les cartes « bonnes seules » qui ne servent ni le plan A ni les matchups prioritaires.,expert_review,medium,"Source expert solide, format podcast."
video_or_podcast,The Dive Down - Deck Tuning,https://thedivedown.com,Competitive Hosts,2024-02-01,Tuning cadence,Documenter chaque changement + hypothèse + résultat pour éviter la dérive de tuning.,expert_review,medium,Bonne pratique process.
meta_report,Piltover Archive Spiritforged Results,https://piltoverarchive.com,Piltover Data Team,2026-03-04,Archetype matchup map,Consolider les MU par archétype avec seuil minimum de matchs avant conclusions fortes.,data_backed,high,Aligné avec confidence gate du moteur.
meta_report,TopDeck.gg Sample-size guideline,https://topdeck.gg,TopDeck Analysts,2026-03-04,Sample quality,Refuser les recommandations « fortes » si n est sous seuil défini.,methodological,high,Base pour gating algorithmique.
longform_article,Frank Karsten - Sideboard Planning,https://strategy.channelfireball.com,Frank Karsten,2021-10-01,Matchup planning,Préparer un plan par matchup évite les inclusions situationnelles excessives.,methodological,high,Transférable même hors sideboard strict.
longform_article,Reid Duke - Finding the Best Deck,https://magic.wizards.com,Reid Duke,2021-08-01,Metagame positioning,Choisir un deck bien positionné est souvent plus rentable que forcer des tech cards extrêmes.,expert_review,high,Référence stratégique reconnue.
longform_article,PVDDR - Decklists and Context,https://articles.starcitygames.com,Paulo Vitor Damo da Rosa,2020-11-01,Contextual tuning,Une liste performante sans contexte méta est insuffisante pour décider des slots.,expert_review,high,Renforce besoin de métadonnées tournoi.
